dataset	VIGEX_group_batchcorr	
TCGA/PZ/A5RE/01	-0.228275094	iCold
TCGA/Q3/A5QY/01	1.362318443	Hot
TCGA/Q3/AA2A/01	-0.709636292	iCold
TCGA/RB/AA9M/01	-0.222813508	iCold
TCGA/RL/AAAS/01	1.05456872	Hot
TCGA/S4/A8RM/01	-0.14343785	iCold
TCGA/S4/A8RO/01	-0.793967138	Cold
TCGA/S4/A8RP/01	0.41672984	iCold
TCGA/US/A774/01	0.839552288	Hot
TCGA/US/A779/01	-2.327686813	Cold
TCGA/US/A77G/01	-1.369124775	Cold
TCGA/US/A77J/01	0.844105569	Hot
TCGA/XD/AAUG/01	-0.295215475	iCold
TCGA/XD/AAUH/01	0.429493139	iCold
TCGA/XD/AAUI/01	-0.310665606	iCold
TCGA/XD/AAUL/01	-0.410295731	iCold
TCGA/XN/A8T3/01	0.355312295	iCold
TCGA/YB/A89D/01	0.109739579	iCold
TCGA/YY/A8LH/01	-0.71340346	iCold
TCGA/Z5/AAPL/01	1.837860963	Hot
